updated,headline,location,news_class,company_name,company_symbol,date_modified,date_created
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-_SALE-_OKUNUBI_ADEYEMI_DAMILARE-15_09_2021.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-16T09:27:06Z,2021-09-16T09:27:06Z
2021-09-25T06:08:44Z,NESTLE NIGERIA PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/121_NOTIFICATION_BY_NSA.pdf,Directors Dealings,NESTLE NIGERIA PLC.,NESTLE,2021-09-15T19:29:03Z,2021-09-15T19:29:03Z
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-_PURCHASE-_UKAHA_CHIDIMMA_NELLY-15_09_2021_.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-15T16:42:04Z,2021-09-15T16:42:04Z
2021-09-25T06:08:44Z,STANBIC IBTC  HOLDINGS PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/160_Notification_of_Insider_Dealing_-15_September_2021_-_SAHL.pdf,Directors Dealings,STANBIC IBTC  HOLDINGS PLC,STANBIC,2021-09-15T11:43:04Z,2021-09-15T11:43:04Z
2021-09-25T06:08:44Z,UNITED CAPITAL PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/176_NOTICE_OF_INSIDER_DEALING-SALE-_OPEOLUWA_ADEDAMOLA_ASHIRU_13_09_2021.pdf,Directors Dealings,UNITED CAPITAL PLC,UCAP,2021-09-14T11:32:04Z,2021-09-14T11:32:04Z
2021-09-25T06:08:44Z,STANBIC IBTC  HOLDINGS PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/160_Notification_of_Insider_Dealing_-14_September_2021_-_SAHL.pdf,Directors Dealings,STANBIC IBTC  HOLDINGS PLC,STANBIC,2021-09-14T08:51:06Z,2021-09-14T08:51:06Z
2021-09-25T06:08:44Z,ZENITH BANK PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/198_ZBPLC_Related_Party_Transaction.pdf,Directors Dealings,ZENITH BANK PLC,ZENITHBANK,2021-09-10T18:17:06Z,2021-09-10T18:17:06Z
2021-09-25T06:08:44Z,VITAFOAM NIG PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/191_VITAFOAM_NIGERIA_PLC_DIRECTORS_DEALING.pdf,Directors Dealings,VITAFOAM NIG PLC.,VITAFOAM,2021-09-10T16:14:03Z,2021-09-10T16:14:03Z
2021-09-25T06:08:44Z,NESTLE NIGERIA PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/121_SHARES_PURCHASED_BY_NSA.pdf,Directors Dealings,NESTLE NIGERIA PLC.,NESTLE,2021-09-10T15:08:04Z,2021-09-10T15:08:04Z
2021-09-25T06:08:44Z,UNION BANK OF NIGERIA PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/177_NSE_-_UBN_Appendix_A_-_Notification_of_Insider_Dealing_EO4.pdf,Directors Dealings,UNION BANK OF NIGERIA PLC,UBN,2021-09-10T15:06:05Z,2021-09-10T15:06:05Z
2021-09-25T06:08:44Z,JAIZ BANK PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/209_Notification_of_Insider_Dealing_0001.pdf,Directors Dealings,JAIZ BANK PLC,JAIZBANK,2021-09-10T13:44:05Z,2021-09-10T13:44:05Z
